IP:Port,Loss,Latency
188.114.97.250:8854,0%,7.90
188.114.99.88:4177,0%,7.91
188.114.96.121:1018,0%,7.92
188.114.96.89:928,0%,7.94
188.114.96.166:5956,0%,7.97
162.159.195.160:1180,0%,7.99
188.114.96.44:1180,0%,8.00
162.159.192.182:500,0%,8.01
188.114.98.238:1843,0%,8.05
162.159.192.111:2408,0%,8.06
162.159.192.53:1180,0%,8.08
188.114.98.253:894,0%,8.11
162.159.192.18:946,0%,8.11
188.114.96.15:942,0%,8.27
188.114.97.38:7103,0%,8.30
162.159.195.182:939,0%,8.35
188.114.98.72:4500,0%,8.83
188.114.98.222:2371,0%,8.89
188.114.99.200:942,0%,8.99
162.159.195.219:7103,0%,9.89
162.159.195.189:4198,0%,9.95
162.159.195.120:880,0%,10.30
162.159.195.215:1070,0%,10.68
162.159.195.157:903,0%,10.69
162.159.195.185:500,0%,10.87
188.114.98.250:894,0%,27.76
188.114.99.89:8742,0%,27.77
188.114.97.227:880,0%,27.80
162.159.192.68:3854,0%,27.84
188.114.96.189:500,0%,27.86
188.114.97.155:8886,0%,27.86
188.114.96.122:7156,0%,27.86
188.114.99.221:500,0%,27.87
162.159.195.108:878,0%,27.87
188.114.97.104:1018,0%,27.87
162.159.192.76:859,0%,27.88
162.159.192.48:908,0%,27.88
162.159.195.203:934,0%,27.88
188.114.99.66:946,0%,27.89
162.159.195.24:854,0%,27.91
188.114.97.100:7559,0%,27.92
188.114.96.40:7281,0%,27.92
188.114.97.200:968,0%,27.92
188.114.96.35:5956,0%,27.93
162.159.195.31:3854,0%,27.94
162.159.195.88:2408,0%,27.95
188.114.99.136:3138,0%,27.96
188.114.98.113:1843,0%,27.97
162.159.195.97:2371,0%,27.98
188.114.96.191:890,0%,27.98
162.159.192.50:946,0%,27.99
162.159.195.93:864,0%,27.99
162.159.195.198:5956,0%,27.99
188.114.96.174:4233,0%,27.99
188.114.97.248:939,0%,28.00
162.159.195.39:1070,0%,28.00
162.159.192.199:945,0%,28.01
162.159.192.87:854,0%,28.01
188.114.98.63:4177,0%,28.02
162.159.192.251:955,0%,28.02
162.159.192.229:968,0%,28.02
162.159.195.119:1018,0%,28.02
188.114.98.93:1070,0%,28.05
162.159.195.229:7103,0%,28.05
188.114.97.254:7152,0%,28.08
162.159.195.159:1387,0%,28.10
188.114.98.131:939,0%,28.10
188.114.98.44:878,0%,28.11
188.114.98.19:942,0%,28.12
162.159.195.40:1018,0%,28.13
188.114.96.106:4177,0%,28.15
188.114.96.197:1701,0%,28.16
162.159.192.122:1014,0%,28.18
162.159.195.144:943,0%,28.19
188.114.97.31:5279,0%,28.21
188.114.96.195:500,0%,28.23
188.114.96.12:880,0%,28.25
162.159.195.205:880,0%,28.27
162.159.192.129:945,0%,28.28
162.159.195.227:854,0%,28.28
162.159.192.199:864,0%,28.30
162.159.195.150:1010,0%,28.32
188.114.99.181:934,0%,28.34
188.114.98.74:1387,0%,28.35
162.159.195.77:1701,0%,28.35
162.159.195.141:7559,0%,28.36
188.114.99.40:1070,0%,28.37
188.114.97.81:2408,0%,28.38
188.114.96.63:1701,0%,28.38
188.114.98.172:854,0%,28.39
162.159.192.30:1074,0%,28.40
162.159.192.133:2408,0%,28.40
188.114.96.39:8319,0%,28.40
188.114.98.54:1070,0%,28.41
188.114.96.8:1010,0%,28.41
188.114.99.227:934,0%,28.42
162.159.195.92:1014,0%,28.44
188.114.96.34:878,0%,28.46
162.159.192.58:1002,0%,28.46
188.114.97.181:4198,0%,28.48
188.114.98.198:1074,0%,28.48
162.159.195.146:7559,0%,28.48
188.114.96.24:1002,0%,28.49
188.114.99.76:7152,0%,28.49
188.114.98.93:891,0%,28.50
188.114.98.244:864,0%,28.50
162.159.195.248:890,0%,28.52
162.159.195.24:903,0%,28.53
162.159.192.86:4177,0%,28.54
162.159.192.115:1701,0%,28.54
188.114.96.169:1002,0%,28.54
162.159.192.85:939,0%,28.55
188.114.96.217:987,0%,28.55
188.114.98.176:3854,0%,28.55
188.114.98.9:891,0%,28.56
188.114.99.145:8886,0%,28.56
188.114.96.57:3476,0%,28.56
188.114.97.183:955,0%,28.56
162.159.195.6:934,0%,28.57
188.114.96.92:943,0%,28.57
188.114.97.103:934,0%,28.57
162.159.192.194:859,0%,28.58
188.114.99.227:859,0%,28.58
162.159.195.25:8742,0%,28.59
188.114.98.244:500,0%,28.59
188.114.97.1:1014,0%,28.59
188.114.96.133:1843,0%,28.60
162.159.195.56:880,0%,28.60
188.114.98.5:5279,0%,28.60
188.114.96.124:7156,0%,28.60
188.114.96.112:894,0%,28.61
188.114.97.67:945,0%,28.61
162.159.192.67:8886,0%,28.62
188.114.96.30:988,0%,28.62
188.114.98.140:890,0%,28.62
188.114.98.182:1180,0%,28.62
188.114.98.103:894,0%,28.62
162.159.195.59:987,0%,28.62
188.114.99.69:1180,0%,28.63
188.114.96.0:8854,0%,28.64
188.114.97.241:500,0%,28.64
188.114.99.254:988,0%,28.64
162.159.192.228:903,0%,28.65
188.114.99.229:7559,0%,28.65
162.159.195.118:987,0%,28.65
188.114.99.85:1070,0%,28.65
188.114.98.205:1070,0%,28.67
162.159.192.114:7152,0%,28.67
162.159.195.121:4233,0%,28.67
188.114.97.94:955,0%,28.68
162.159.192.254:880,0%,28.68
188.114.96.17:4177,0%,28.68
188.114.96.108:1180,0%,28.69
188.114.97.195:890,0%,28.69
162.159.192.123:8886,0%,28.69
162.159.195.94:1070,0%,28.70
188.114.99.187:5279,0%,28.70
162.159.195.224:1002,0%,28.70
188.114.97.123:928,0%,28.71
162.159.192.238:859,0%,28.72
188.114.99.69:4177,0%,28.72
188.114.97.254:1018,0%,28.72
188.114.98.166:4198,0%,28.73
188.114.96.110:8854,0%,28.74
162.159.192.104:987,0%,28.74
188.114.99.25:943,0%,28.74
162.159.192.183:1387,0%,28.77
162.159.192.41:1701,0%,28.78
188.114.99.254:7152,0%,28.79
162.159.195.81:4177,0%,28.80
188.114.98.74:3581,0%,28.81
188.114.97.236:5956,0%,28.82
188.114.96.215:1180,0%,28.82
188.114.99.94:903,0%,28.82
188.114.96.91:7103,0%,28.82
188.114.96.203:7281,0%,28.83
188.114.99.50:1387,0%,28.83
188.114.98.52:939,0%,28.83
162.159.195.179:500,0%,28.83
162.159.195.247:4233,0%,28.83
188.114.96.238:1387,0%,28.85
162.159.195.96:890,0%,28.85
162.159.195.6:1074,0%,28.85
188.114.98.208:859,0%,28.86
162.159.195.2:4233,0%,28.87
162.159.192.15:1387,0%,28.87
188.114.99.138:1387,0%,28.88
162.159.192.77:1010,0%,28.89
188.114.98.23:1701,0%,28.89
162.159.192.217:2408,0%,28.89
188.114.99.247:928,0%,28.90
188.114.97.20:942,0%,28.91
188.114.96.64:7103,0%,28.91
188.114.98.170:1701,0%,28.92
162.159.192.175:7103,0%,28.93
188.114.99.253:854,0%,28.93
188.114.98.81:2408,0%,28.94
188.114.97.69:3138,0%,28.95
188.114.97.91:880,0%,28.95
188.114.96.239:955,0%,28.95
188.114.98.20:859,0%,28.95
188.114.97.19:3581,0%,28.96
162.159.192.252:946,0%,28.96
188.114.97.163:903,0%,28.96
188.114.99.15:7103,0%,28.96
188.114.98.223:934,0%,28.98
188.114.96.125:4233,0%,29.00
162.159.192.51:2408,0%,29.01
188.114.99.85:5956,0%,29.04
162.159.195.52:8886,0%,29.09
162.159.195.189:7281,0%,29.09
162.159.192.204:859,0%,29.10
162.159.192.240:903,0%,29.10
188.114.96.13:4177,0%,29.14
188.114.96.70:3138,0%,29.15
162.159.195.209:1010,0%,29.15
188.114.96.29:1014,0%,29.16
162.159.192.46:939,0%,29.18
188.114.99.64:859,0%,29.19
162.159.195.122:945,0%,29.20
188.114.96.121:7281,0%,29.21
188.114.97.173:987,0%,29.21
188.114.99.107:894,0%,29.22
188.114.96.181:1018,0%,29.25
162.159.195.159:4177,0%,29.25
188.114.99.152:955,0%,29.26
188.114.98.18:987,0%,29.28
188.114.99.233:3581,0%,29.31
188.114.96.22:946,0%,29.32
188.114.97.20:1014,0%,29.32
162.159.195.52:7152,0%,29.33
188.114.96.231:903,0%,29.37
162.159.192.247:939,0%,29.37
162.159.192.229:2371,0%,29.38
188.114.99.51:946,0%,29.40
188.114.96.245:7559,0%,29.41
188.114.96.100:945,0%,29.41
188.114.97.180:968,0%,29.43
188.114.96.133:939,0%,29.49
162.159.192.213:1387,0%,29.49
188.114.97.51:859,0%,29.50
162.159.192.123:3854,0%,29.53
188.114.96.136:8742,0%,29.54
188.114.97.171:934,0%,29.61
188.114.97.164:939,0%,29.62
188.114.97.183:878,0%,29.66
162.159.192.123:1018,0%,29.78
188.114.98.151:987,0%,29.89
188.114.96.175:1701,0%,29.91
188.114.98.65:1010,0%,30.18
162.159.195.233:7103,0%,30.84
188.114.97.41:1074,0%,49.61
162.159.195.242:1074,0%,50.12
188.114.99.1:934,0%,50.31
188.114.99.242:3476,0%,50.40
162.159.195.117:945,0%,50.42
188.114.96.72:894,0%,50.42
162.159.195.151:4198,0%,50.49
162.159.192.49:7559,0%,50.53
162.159.195.192:3476,0%,50.57
188.114.98.16:7103,0%,50.74
188.114.98.142:2506,0%,50.86
162.159.192.74:880,0%,50.94
